{'timestamp': '2021-11-29 22:49:40.032876', 'Physical Cell ID': 251, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 8360}
{'timestamp': '2021-11-29 22:49:44.651823', 'Physical Cell ID': 251, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 8512}
{'timestamp': '2021-11-29 22:49:57.194133', 'Physical Cell ID': 251, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 8539}
{'timestamp': '2021-11-29 22:50:04.250824', 'Physical Cell ID': 251, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 8868}
{'timestamp': '2021-11-29 22:50:15.035009', 'Physical Cell ID': 492, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 8912}
{'timestamp': '2021-11-29 22:50:19.915766', 'Physical Cell ID': 492, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 9063}
{'timestamp': '2021-11-29 22:50:40.545002', 'Physical Cell ID': 492, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 9108}
{'timestamp': '2021-11-29 22:50:45.940020', 'Physical Cell ID': 405, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 9457}
{'timestamp': '2021-11-29 22:51:11.605006', 'Physical Cell ID': 405, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 9510}
{'timestamp': '2021-11-29 22:51:24.325757', 'Physical Cell ID': 16, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 10399}
{'timestamp': '2021-11-29 22:51:37.638941', 'Physical Cell ID': 16, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 10439}
{'timestamp': '2021-11-29 22:51:42.353941', 'Physical Cell ID': 16, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 10596}
The average time difference between the two events is 16.022891067567567 seconds
